Unnamed: 0,year,tourism_receipts,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures,gdp,unemployment,country_ID
2878,2009,3762180669.926865,49158502.0,17.40754387899763,6534996.702075657,6.768570861691134,165375000000.0,8.198613955337168,187
5076,2018,3834000000.0,12045000.0,12.79747173,2868000.0,9.323933414,39567978723.0,8.198613955337168,17
135,1999,3238256831.0,7950686.093,11.02454586,6534996.702075657,5.187539726,197361000000.0,8.198613955337168,114
1379,2004,6188372843.0,13943780.1,62.10399853,6534996.702075657,6.768570861691134,20288513844.0,8.198613955337168,38
2602,2008,10615000000.0,10116000.0,2.394153911,6828000.0,4.050884286,193617000000.0,3.96,183
265,1999,202000000.0,2250000.0,17.40754387899763,331000.0,6.768570861691134,6858013100.0,6.0,232
2833,2009,69000000.0,66000.0,6.265941576,6534996.702075657,3.308311558,7352131310.0,8.198613955337168,152
747,2001,8588341996.0,20377864.55,8.086047486,6534996.702075657,6.681779713,409715000000.0,8.198613955337168,201
3222,2011,984000000.0,1187000.0,46.17365059,6534996.702075657,5.105428683,5342183800.0,8.198613955337168,19
4602,2016,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,14023890265.0,8.198613955337168,75
3258,2011,849000000.0,1141000.0,3.441455694,1022000.0,3.455798946,78986648000.0,3.458,60
943,2002,201000000.0,2297000.0,6.91538965,2306000.0,7.26284862,9249030241.0,13.829,113
2669,2009,4455000000.0,4308000.0,6.715850377,5793000.0,11.69016549,332976000000.0,8.645,10
550,2001,85500000.0,1155000.0,16.40857689,6534996.702075657,6.438001086,3666222635.0,8.198613955337168,23
5787,2020,1611000000.0,5023000.0,1.731805381,9510000.0,3.34170754,252034000000.0,5.035,172
659,2001,286000000.0,2072000.0,1.597678586,1666000.0,25.85918139,34889559870.0,0.8,110
4538,2016,3762180669.926865,187000.0,17.40754387899763,6534996.702075657,6.768570861691134,2644487777.0,8.198613955337168,33
1624,2005,345000000.0,524000.0,10.52023955,386000.0,8.971757877,9549122905.0,5.45,26
5366,2019,72699996.95,45099.99847,51.12171288,6534996.702075657,14.99745133,1195019532.0,8.198613955337168,46
237,1999,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,225357600.0,8.198613955337168,211
3636,2012,379000000.0,803000.0,19.65172189,862000.0,8.210020036,21703100877.0,8.198613955337168,147
2397,2008,4900188000.0,10157585.78,2.994417154,6534996.702075657,11.50535396,569322000000.0,8.198613955337168,2
479,2000,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,3412797450.0,8.198613955337168,189
6361,2022,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,44579761023.0,15.301,215
4206,2014,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,4.548708028,13962212847.0,8.198613955337168,193
6296,2022,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,41182939601.0,8.198613955337168,147
3388,2011,615000000.0,449000.0,34.1778847,6534996.702075657,10.53616296,11186100000.0,17.597,229
3602,2012,5395000000.0,950000.0,5.281243189,1580000.0,3.882537012,59776383527.0,5.03,122
5870,2021,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,17690083520.0,8.198613955337168,23
774,2001,361000000.0,468000.0,7.41531912,6534996.702075657,4.358402362,8824849191.0,10.88,214
5240,2018,4505000000.0,5384000.0,8.124500326,3078000.0,6.499182359,222597000000.0,3.492,165
839,2002,56000000.0,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,18054383321.0,8.198613955337168,50
5167,2018,1986000000.0,6737774.181702553,2.160322939,6534996.702075657,13.81074618,227367000000.0,8.198613955337168,99
5805,2020,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,471229484.6,8.198613955337168,177
3058,2010,170000000.0,6737774.181702553,0.344512424,6534996.702075657,7.117159393,75380825062.0,8.198613955337168,118
3778,2013,7792000000.0,26332000.0,4.840401657,5781000.0,3.156098855,213024000000.0,6.953,55
1441,2004,6075000000.0,6953000.0,17.40754387899763,5409000.0,6.768570861691134,194372000000.0,4.491,100
3486,2012,631000000.0,798000.0,5.147660788,788000.0,5.061039332,27084497482.0,2.066,26
4803,2017,3214000000.0,2697000.0,16.19919016,4109000.0,16.38695619,40866627352.0,5.0,15
377,2000,3517000000.0,6646000.0,17.40754387899763,3783000.0,6.768570861691134,100208000000.0,4.318,100
2552,2008,286000000.0,190000.0,11.1641514,6534996.702075657,6.044007551,9838403101.0,8.198613955337168,128
4113,2014,3220000000.0,4503000.0,26.87960024,956000.0,3.736067214,22041463968.0,0.692,35
5883,2021,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,14006496614.0,4.905,30
137,1999,3762180669.926865,60000.0,17.40754387899763,6534996.702075657,6.768570861691134,2664105901.0,1.78,119
1136,2003,336000000.0,180000.0,26.70638265,6534996.702075657,2.419628329,8623691300.0,8.198613955337168,67
4284,2015,810000000.0,882000.0,8.159225306,965000.0,7.130169523,33000198248.0,3.111,26
3027,2010,6595000000.0,39904000.0,6.152541323,16082000.0,2.867184868,132175000000.0,11.172,91
3009,2010,706000000.0,931000.0,7.480889823,6534996.702075657,6.333781677,32197655567.0,5.384,78
4545,2016,3091000000.0,6265000.0,79.6401911,6534996.702075657,9.849661442,11745100000.0,12.7,16
6649,2023,3762180669.926865,6737774.181702553,17.40754387899763,6534996.702075657,6.768570861691134,35231367886.0,9.348,232
